signal_buffer,signal_buffer_label,lead_day,model,feature_set,n_oos,start_date,end_date,oos_r2_vs_train_mean,rmse_5td_target,mae_5td_target,corr_pred_actual_5td,direction_accuracy_5td,mean_predicted_return,mean_actual_5td_return,mean_ridge_alpha,daily_rebalanced_total_return,daily_rebalanced_annual_return,daily_rebalanced_annual_vol,daily_rebalanced_sharpe,daily_rebalanced_max_drawdown,daily_rebalanced_mean_turnover,daily_rebalanced_mean_position,daily_rebalanced_cash_share,signal_5td_proxy_total_return,signal_5td_proxy_annual_return,signal_5td_proxy_annual_vol,signal_5td_proxy_sharpe,signal_5td_proxy_max_drawdown,signal_5td_proxy_mean_turnover,signal_5td_proxy_mean_position,signal_5td_proxy_cash_share
0.001,0.1%,7,forecast_anom,lead07_forecast_anom,826,2022-01-03,2025-09-12,0.0002784274212238591,0.02732151360134416,0.019880670927376644,0.08494997483132063,0.5278450363196125,-0.0010182944606448093,0.001059547654524753,100.0,0.3818607464465307,0.103706268785283,0.18218968063822386,0.6325658931061862,-0.17831572118856043,0.2651331719128329,-0.16343825665859565,0.15617433414043583,6.504544172576062,0.8494734324751825,0.39336806991295076,1.7610505301191623,-0.5815425174624187,0.2651331719128329,-0.16343825665859565,0.15617433414043583
0.001,0.1%,7,forecast_anom_projected_change,lead07_forecast_anom_projected_change,826,2022-01-03,2025-09-12,0.004884776533205515,0.02725849718820347,0.01971365308059507,0.1016535407223311,0.5460048426150121,-0.0008603963389324332,0.001059547654524753,100.0,0.5358025798045725,0.13985100355432123,0.18069874012767892,0.8147256682167792,-0.12828959276169694,0.29418886198547217,-0.11380145278450363,0.162227602905569,7.538587423444179,0.9237634533337222,0.39210132805299786,1.8662643017117215,-0.48762192228436674,0.29418886198547217,-0.11380145278450363,0.162227602905569
0.001,0.1%,7,price_calendar,lead07_price_calendar,826,2022-01-03,2025-09-12,-0.0035789541545874215,0.027374172282292965,0.019922569391692665,0.07193536899740005,0.5314769975786925,-0.0012322122185548915,0.001059547654524753,100.0,0.3259160817160007,0.08987771948695555,0.18005294559187426,0.5679449541252374,-0.19123439188289282,0.2360774818401937,-0.23123486682808717,0.18280871670702178,2.9001303871525934,0.5147090666552347,0.3897576753219361,1.2611774817733437,-0.6253660028087638,0.2360774818401937,-0.23123486682808717,0.18280871670702178
0.001,0.1%,14,forecast_anom,lead14_forecast_anom,826,2022-01-03,2025-09-12,-0.0034023364869231187,0.02737176341591715,0.019934476816389626,0.07056960417423146,0.5157384987893463,-0.0010951079692396778,0.001059547654524753,100.0,0.24586446673447293,0.06936677022024673,0.18217367913471244,0.45913161931141133,-0.20265444544513556,0.24818401937046006,-0.21670702179176757,0.17796610169491525,3.4015981316009913,0.5716495473965078,0.39056831651773266,1.3539357228415474,-0.6008810343910838,0.24818401937046006,-0.21670702179176757,0.17796610169491525
0.001,0.1%,14,forecast_anom_projected_change,lead14_forecast_anom_projected_change,826,2022-01-03,2025-09-12,0.00013958495417121242,0.027323410756891146,0.01977467798967868,0.08555929268210224,0.5351089588377724,-0.0009030429093521057,0.001059547654524753,100.0,0.754828618825627,0.1871682794585101,0.1812240383459491,1.0373276954292792,-0.14158996280478076,0.2675544794188862,-0.13922518159806296,0.1682808716707022,5.2212527827844575,0.7466264050625488,0.4060554041199956,1.578329774163042,-0.5219250501708371,0.2675544794188862,-0.13922518159806296,0.1682808716707022
0.001,0.1%,14,price_calendar,lead14_price_calendar,826,2022-01-03,2025-09-12,-0.0035789541545874215,0.027374172282292965,0.019922569391692665,0.07193536899740005,0.5314769975786925,-0.0012322122185548915,0.001059547654524753,100.0,0.3259160817160007,0.08987771948695555,0.18005294559187426,0.5679449541252374,-0.19123439188289282,0.2360774818401937,-0.23123486682808717,0.18280871670702178,2.9001303871525934,0.5147090666552347,0.3897576753219361,1.2611774817733437,-0.6253660028087638,0.2360774818401937,-0.23123486682808717,0.18280871670702178
0.001,0.1%,21,forecast_anom,lead21_forecast_anom,826,2022-01-03,2025-09-12,-0.007138716178436422,0.02742267832158712,0.01999025255644571,0.06217546827963603,0.5266343825665859,-0.0011553512830455516,0.001059547654524753,100.0,0.016636444905955505,0.005046459399977055,0.18390348862358655,0.11919845077994207,-0.31193964143806285,0.3305084745762712,-0.22518159806295399,0.15254237288135594,0.7099840557456629,0.1778292184672685,0.40557515013791895,0.6073385606212643,-0.7594350589040045,0.3305084745762712,-0.22518159806295399,0.15254237288135594
0.001,0.1%,21,forecast_anom_projected_change,lead21_forecast_anom_projected_change,826,2022-01-03,2025-09-12,-0.006830538648037621,0.02741848242496618,0.019835960106954282,0.06976452970757045,0.5363196125907991,-0.0009372431173551541,0.001059547654524753,100.0,0.30991827500051294,0.08584895391837177,0.1842783577502272,0.5387577442730958,-0.19751824301547882,0.35714285714285715,-0.14891041162227603,0.16101694915254236,2.365474092366585,0.44808405564852527,0.40575885501531095,1.1168257006024478,-0.6184289645264534,0.35714285714285715,-0.14891041162227603,0.16101694915254236
0.001,0.1%,21,price_calendar,lead21_price_calendar,826,2022-01-03,2025-09-12,-0.0035789541545874215,0.027374172282292965,0.019922569391692665,0.07193536899740005,0.5314769975786925,-0.0012322122185548915,0.001059547654524753,100.0,0.3259160817160007,0.08987771948695555,0.18005294559187426,0.5679449541252374,-0.19123439188289282,0.2360774818401937,-0.23123486682808717,0.18280871670702178,2.9001303871525934,0.5147090666552347,0.3897576753219361,1.2611774817733437,-0.6253660028087638,0.2360774818401937,-0.23123486682808717,0.18280871670702178
0.001,0.1%,28,forecast_anom,lead28_forecast_anom,826,2022-01-03,2025-09-12,-0.005360276923763951,0.027398455681957014,0.019949657517495563,0.06605207480784564,0.5205811138014528,-0.0011430041110847614,0.001059547654524753,100.0,0.3627453304726187,0.0990257686388325,0.1810375336071704,0.6120267607177485,-0.20505067970903856,0.24334140435835352,-0.20823244552058112,0.16707021791767554,2.644398840256327,0.48369111122672814,0.40045561537226304,1.1868903692621557,-0.6559336805033138,0.24334140435835352,-0.20823244552058112,0.16707021791767554
