lead_day,model,feature_set,n_oos,start_date,end_date,oos_r2_vs_train_mean,rmse_5td_target,mae_5td_target,corr_pred_actual_5td,direction_accuracy_5td,mean_predicted_return,mean_actual_5td_return,mean_ridge_alpha,daily_rebalanced_total_return,daily_rebalanced_annual_return,daily_rebalanced_annual_vol,daily_rebalanced_sharpe,daily_rebalanced_max_drawdown,daily_rebalanced_mean_turnover,daily_rebalanced_mean_position,daily_rebalanced_cash_share,signal_5td_proxy_total_return,signal_5td_proxy_annual_return,signal_5td_proxy_annual_vol,signal_5td_proxy_sharpe,signal_5td_proxy_max_drawdown,signal_5td_proxy_mean_turnover,signal_5td_proxy_mean_position,signal_5td_proxy_cash_share
7,forecast_anom,lead07_forecast_anom,826,2022-01-03,2025-09-12,0.0002784274212243032,0.027321513601344192,0.01988067092737669,0.08494997483132097,0.5278450363196125,-0.0010182944606448158,0.001059547654524752,100.0,0.18632127863134862,0.053508383670061166,0.1558687901232557,0.41222401374344986,-0.14812194443416915,0.24213075060532688,-0.17070217917675545,0.45883777239709445,2.2496104602135003,0.43268898949040047,0.3272444940569544,1.2623045764682719,-0.4870353955466389,0.24213075060532688,-0.17070217917675545,0.45883777239709445
7,forecast_anom_projected_change,lead07_forecast_anom_projected_change,826,2022-01-03,2025-09-12,0.004884776533205515,0.027258497188203508,0.01971365308059511,0.10165354072233132,0.5460048426150121,-0.0008603963389324368,0.001059547654524752,100.0,0.28496006036702837,0.07949482515448447,0.1531182398107901,0.5759018204804747,-0.1638545030729901,0.26634382566585957,-0.13196125907990314,0.4322033898305085,3.252442408026355,0.5552062711395234,0.34062256078159997,1.4673915008100173,-0.5022510490173988,0.26634382566585957,-0.13196125907990314,0.4322033898305085
7,price_calendar,lead07_price_calendar,826,2022-01-03,2025-09-12,-0.0035789541545871995,0.027374172282293,0.019922569391692707,0.07193536899740048,0.5314769975786925,-0.0012322122185549037,0.001059547654524752,100.0,0.33178399717026275,0.09134698207171033,0.1510173031729417,0.6540691282977711,-0.13962293841091278,0.17191283292978207,-0.21428571428571427,0.5121065375302664,2.4729952260277193,0.4620445264242705,0.32070721652686984,1.3446395616751388,-0.49100554793538065,0.17191283292978207,-0.21428571428571427,0.5121065375302664
14,forecast_anom,lead14_forecast_anom,826,2022-01-03,2025-09-12,-0.0034023364869231187,0.02737176341591719,0.01993447681638967,0.07056960417423183,0.5157384987893463,-0.001095107969239689,0.001059547654524752,100.0,0.3332019917189919,0.09170135742914165,0.14892341730513914,0.6633555853958117,-0.15991542570623862,0.23486682808716708,-0.19128329297820823,0.5012106537530266,1.9076240233421693,0.3849001065250859,0.3188769914653247,1.1805182126752645,-0.47925362816739114,0.23486682808716708,-0.19128329297820823,0.5012106537530266
14,forecast_anom_projected_change,lead14_forecast_anom_projected_change,826,2022-01-03,2025-09-12,0.00013958495417121242,0.027323410756891185,0.019774677989678722,0.08555929268210254,0.5351089588377724,-0.0009030429093521127,0.001059547654524752,100.0,0.41797209586567363,0.11242693793947311,0.15675900838216292,0.757889006347573,-0.14400775402533972,0.24213075060532688,-0.14769975786924938,0.4552058111380145,3.294317242952559,0.5598625921571152,0.33704147596028705,1.4883940091726744,-0.5066157637338065,0.24213075060532688,-0.14769975786924938,0.4552058111380145
14,price_calendar,lead14_price_calendar,826,2022-01-03,2025-09-12,-0.0035789541545871995,0.027374172282293,0.019922569391692707,0.07193536899740048,0.5314769975786925,-0.0012322122185549037,0.001059547654524752,100.0,0.33178399717026275,0.09134698207171033,0.1510173031729417,0.6540691282977711,-0.13962293841091278,0.17191283292978207,-0.21428571428571427,0.5121065375302664,2.4729952260277193,0.4620445264242705,0.32070721652686984,1.3446395616751388,-0.49100554793538065,0.17191283292978207,-0.21428571428571427,0.5121065375302664
21,forecast_anom,lead21_forecast_anom,826,2022-01-03,2025-09-12,-0.0071387161784362,0.027422678321587155,0.019990252556445754,0.06217546827963635,0.5266343825665859,-0.0011553512830455625,0.001059547654524752,100.0,0.1816985085516889,0.05225423976091781,0.1502514976596269,0.41383399393693154,-0.18128446536642895,0.29539951573849876,-0.18401937046004843,0.46973365617433416,1.5398645997159375,0.3289282336686645,0.32685836064882623,1.0336169181379815,-0.58129507857151,0.29539951573849876,-0.18401937046004843,0.46973365617433416
21,forecast_anom_projected_change,lead21_forecast_anom_projected_change,826,2022-01-03,2025-09-12,-0.006830538648037177,0.027418482424966212,0.019835960106954324,0.06976452970757055,0.5363196125907991,-0.0009372431173551602,0.001059547654524752,100.0,0.3324916660288415,0.09152387051969701,0.15750793874747557,0.6346115786732968,-0.18807701158940549,0.3196125907990315,-0.14043583535108958,0.423728813559322,2.4287348676838967,0.4563346781315727,0.3490759949613196,1.252521179546194,-0.5806456655563428,0.3196125907990315,-0.14043583535108958,0.423728813559322
21,price_calendar,lead21_price_calendar,826,2022-01-03,2025-09-12,-0.0035789541545871995,0.027374172282293,0.019922569391692707,0.07193536899740048,0.5314769975786925,-0.0012322122185549037,0.001059547654524752,100.0,0.33178399717026275,0.09134698207171033,0.1510173031729417,0.6540691282977711,-0.13962293841091278,0.17191283292978207,-0.21428571428571427,0.5121065375302664,2.4729952260277193,0.4620445264242705,0.32070721652686984,1.3446395616751388,-0.49100554793538065,0.17191283292978207,-0.21428571428571427,0.5121065375302664
28,forecast_anom,lead28_forecast_anom,826,2022-01-03,2025-09-12,-0.005360276923763507,0.02739845568195705,0.019949657517495608,0.06605207480784601,0.5205811138014528,-0.00114300411108477,0.001059547654524752,100.0,0.23477141255151368,0.06645286241634829,0.1516693197724719,0.4997239463803447,-0.18608609459689474,0.19612590799031476,-0.2009685230024213,0.5084745762711864,1.738987370524724,0.35988456031052474,0.3177220501356309,1.1260238099483462,-0.5120913039653923,0.19612590799031476,-0.2009685230024213,0.5084745762711864
